Training_Region_Cell_ID,D_model1,D_model2,D_dataCat,D_dataFeat,D_kgS0,D_kgS1,D_kgS2,D_kgS3,D_nopredTarget,D_onto,invalid_cell,type,cell-pair(s),family,setID,trial_ID,status,comments
1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
2,1,1,1,1,1,1,1,1,1,2,A,,,,,,,
3,1,1,1,1,1,1,1,1,1,3,A,,,,,,,
4,1,1,1,1,1,1,1,1,2,1,,,,,,,,
5,1,1,1,1,1,1,1,1,2,2,A,,,,,,,
6,1,1,1,1,1,1,1,1,2,3,A,,,,,,,
7,1,1,1,1,1,1,1,1,3,1,,,,,,,,
8,1,1,1,1,1,1,1,1,3,2,A,,,,,,,
9,1,1,1,1,1,1,1,1,3,3,A,,,,,,,
10,1,1,1,1,2,1,1,1,1,1,B,,,,,,,
11,1,1,1,1,2,1,1,1,1,2,,,,,,,,
12,1,1,1,1,2,1,1,1,1,3,,,,,,,,
13,1,1,1,1,2,1,1,1,2,1,B,,,,,,,
14,1,1,1,1,2,1,1,1,2,2,,,,,,,,
15,1,1,1,1,2,1,1,1,2,3,,,,,,,,
16,1,1,1,1,2,1,1,1,3,1,B,,,,,,,
17,1,1,1,1,2,1,1,1,3,2,,,,,,,,
18,1,1,1,1,2,1,1,1,3,3,,,,,,,,
19,1,1,1,1,3,1,1,1,1,1,B,,,,,,,
20,1,1,1,1,3,1,1,1,1,2,,,,,,,,
21,1,1,1,1,3,1,1,1,1,3,,,,,,,,
22,1,1,1,1,3,1,1,1,2,1,B,,,,,,,
23,1,1,1,1,3,1,1,1,2,2,,,,,,,,
24,1,1,1,1,3,1,1,1,2,3,,,,,,,,
25,1,1,1,1,3,1,1,1,3,1,B,,,,,,,
26,1,1,1,1,3,1,1,1,3,2,,,,,,,,
27,1,1,1,1,3,1,1,1,3,3,,,,,,,,
28,1,1,1,2,1,1,1,1,1,1,,T,352,nnkgs0,1,3,A,
29,1,1,1,2,1,1,1,1,1,2,A,,,,,,,
30,1,1,1,2,1,1,1,1,1,3,A,,,,,,,
31,1,1,1,2,1,1,1,1,2,1,,,,,,,,
32,1,1,1,2,1,1,1,1,2,2,A,,,,,,,
33,1,1,1,2,1,1,1,1,2,3,A,,,,,,,
34,1,1,1,2,1,1,1,1,3,1,,,,,,,,
35,1,1,1,2,1,1,1,1,3,2,A,,,,,,,
36,1,1,1,2,1,1,1,1,3,3,A,,,,,,,
37,1,1,1,2,2,1,1,1,1,1,B,,,,,,,
38,1,1,1,2,2,1,1,1,1,2,,,,,,,,
39,1,1,1,2,2,1,1,1,1,3,,,,,,,,
40,1,1,1,2,2,1,1,1,2,1,B,,,,,,,
41,1,1,1,2,2,1,1,1,2,2,,,,,,,,
42,1,1,1,2,2,1,1,1,2,3,,,,,,,,
43,1,1,1,2,2,1,1,1,3,1,B,,,,,,,
44,1,1,1,2,2,1,1,1,3,2,,,,,,,,
45,1,1,1,2,2,1,1,1,3,3,,,,,,,,
46,1,1,1,2,3,1,1,1,1,1,B,,,,,,,
47,1,1,1,2,3,1,1,1,1,2,,,,,,,,
48,1,1,1,2,3,1,1,1,1,3,,,,,,,,
49,1,1,1,2,3,1,1,1,2,1,B,,,,,,,
50,1,1,1,2,3,1,1,1,2,2,,,,,,,,
51,1,1,1,2,3,1,1,1,2,3,,,,,,,,
